postalcode,neighborhood,city
50310,Lower Beaver,Des Moines
50310,Meredith,Des Moines
50310,Beaverdale,Des Moines
50311,Drake,Des Moines
50311,Drake park,Des Moines
50311,Maveland Park,Des Moines
50312,Ingersoll Park,Des Moines
50312,Salisbury Oaks,Des Moines
50321,Southwestern Hills,Des Moines
50315,Grays Lake,Des Moines
50315,Columbus Park,Des Moines
50315,Indianola Hills,Des Moines
50315,Magnolia Park,Des Moines
50315,Watrous South,Des Moines
50315,South Park,Des Moines
50315,Fort Des Moines,Des Moines
50315,Somerset,Des Moines
50320,Pioneer Park,Des Moines
50320,River Woods,Des Moines
50320,Easter Lake,Des Moines
50320,Ewing Woods,Des Moines
50317,Grays woods,Des Moines
50317,Fairmount Park,Des Moines
50317,Sheridan Gardens,Des Moines
50317,Accent,Des Moines
50317,Brook Run,Des Moines
50316,Capitol Park,Des Moines
50316,Capitol East,Des Moines
50316,Union Park,Des Moines
50314,River Bend,Des Moines
50314,Cheaton Park,Des Moines
50314,King Irving,Des Moines
50314,Prospect Park,Des Moines
50313,Highland Park,Des Moines
50313,Oak Park,Des Moines
50313,Birdland Park,Des Moines
